Designator,Mid X,Mid Y,Rotation,Layer
C1,170.81,-82.41,180.0,top
C10,170.505902,-27.466467,202.5,top
C11,162.324896,-31.710383,213.75,top
C12,155.129032,-37.468788,225.0,top
C13,149.194844,-44.520391,236.25,top
C14,144.75038,-52.594202,247.5,top
C15,141.966436,-61.379948,258.75,top
C16,140.95,-70.54,270.0,top
C17,141.740132,-79.722341,281.25,top
C18,144.306467,-88.574098,292.5,top
C19,148.550383,-96.755104,303.75,top
C2,198.16,-107.61,0.0,top
C20,154.308788,-103.950968,315.0,top
C21,161.360391,-109.885156,326.25,top
C22,169.434202,-114.32962,337.5,top
C23,178.219948,-117.113564,348.75,top
C24,187.38,-118.13,0.0,top
C25,196.562341,-117.339868,11.25,top
C26,205.414098,-114.773533,22.5,top
C27,213.595104,-110.529617,33.75,top
C28,220.790968,-104.771212,45.0,top
C29,226.725156,-97.719609,56.25,top
C3,182.585,-59.01,0.0,top
C30,231.16962,-89.645798,67.5,top
C31,233.953564,-80.860052,78.75,top
C32,234.97,-71.7,90.0,top
C33,234.179868,-62.517659,101.25,top
C34,231.613533,-53.665902,112.5,top
C35,227.369617,-45.484896,123.75,top
C36,221.611212,-38.289032,135.0,top
C37,214.559609,-32.354844,146.25,top
C38,206.485798,-27.91038,157.5,top
C39,197.700052,-25.126436,168.75,top
C4,180.26,-53.11,90.0,top
C5,181.085,-97.06,180.0,top
C6,174.96,-82.885,270.0,top
C7,180.635,-87.06,180.0,top
C8,188.54,-24.11,180.0,top
C9,179.357659,-24.900132,191.25,top
D1,194.16,-107.21,0.0,top
D10,156.133124,-39.293124,45.0,top
D11,150.535553,-46.113784,56.25,top
D12,146.376182,-53.895419,67.5,top
D13,143.814855,-62.338985,78.75,top
D14,142.95,-71.12,90.0,top
D15,143.814855,-79.901015,101.25,top
D16,146.376182,-88.344581,112.5,top
D17,150.535553,-96.126216,123.75,top
D18,156.133124,-102.946876,135.0,top
D19,162.953784,-108.544447,146.25,top
D2,180.56,-99.61,180.0,top
D20,170.735419,-112.703818,157.5,top
D21,179.178985,-115.265145,168.75,top
D22,187.96,-116.13,180.0,top
D23,196.741015,-115.265145,191.25,top
D24,205.184581,-112.703818,202.5,top
D25,212.966216,-108.544447,213.75,top
D26,219.786876,-102.946876,225.0,top
D27,225.384447,-96.126216,236.25,top
D28,229.543818,-88.344581,247.5,top
D29,232.105145,-79.901015,258.75,top
D3,170.423429,-51.657923,180.0,top
D30,232.97,-71.12,270.0,top
D31,232.105145,-62.338985,281.25,top
D32,229.543818,-53.895419,292.5,top
D33,225.384447,-46.113784,303.75,top
D34,219.786876,-39.293124,315.0,top
D35,212.966216,-33.695553,326.25,top
D36,205.184581,-29.536182,337.5,top
D37,196.741015,-26.974855,348.75,top
D4,170.448429,-54.567923,180.0,top
D5,170.448429,-57.427923,180.0,top
D6,187.96,-26.11,0.0,top
D7,179.178985,-26.974855,11.25,top
D8,170.735419,-29.536182,22.5,top
D9,162.953784,-33.695553,33.75,top
J1,170.5,-102.38,90.0,top
J2,197.18727,-116.212866,348.75,bottom
Q1,191.5975,-49.96,180.0,top
Q2,191.5725,-53.61,180.0,top
R1,194.26,-110.41,0.0,top
R2,198.21,-109.31,180.0,top
R3,173.36,-82.885,90.0,top
R4,173.735,-51.66,0.0,top
R5,173.76,-54.56,0.0,top
R6,173.76,-57.41,0.0,top
S1,204.085,-55.385,90.0,top
S2,204.035,-63.309849,90.0,top
U1,178.25,-71.035,90.0,top
U2,184.9475,-55.01,90.0,top
U3,176.6775,-92.065,180.0,top
